name_with_owner,stars,created_at,releases,total_linhas_codigo,total_linhas_comentario
trinodb/trino,9379,2019-01-19,0,0,0
jitsi/jitsi,4036,2013-04-24,7,0,0
geoserver/geoserver,3534,2011-11-10,42,0,0
