name_with_owner,stars,created_at,releases,total_linhas_codigo,total_linhas_comentario
jitsi/jitsi,4036,2013-04-24,7,402127,127062
knowm/XChange,3744,2012-02-02,0,273501,66991
apache/incubator-streampark,3667,2019-05-27,24,11763,3503
stfalcon-studio/ChatKit,3655,2017-02-02,1,5397,1616
apache/incubator-heron,3639,2015-09-25,56,124334,34683
google/data-transfer-project,3538,2018-01-04,61,18555,4665
geoserver/geoserver,3534,2011-11-10,42,950379,255507
openhab/openhab1-addons,3433,2013-09-20,14,287657,86963
spring-cloud/spring-cloud-kubernetes,3407,2016-12-13,14,345,123
helidon-io/helidon,3363,2018-08-27,94,567132,156612
lukas-krecan/ShedLock,3337,2016-12-11,0,11461,2567
spring-io/initializr,3331,2013-06-07,15,43954,11955
actorapp/actor-platform,3294,2015-06-21,97,166115,47037
dromara/dynamic-tp,3293,2022-01-07,13,30826,8795
microservices-patterns/ftgo-application,3278,2017-10-23,0,6545,2034
apache/logging-log4j2,3252,2013-06-12,8,268445,60834
apache/linkis,3222,2019-07-23,30,104189,24217
eclipse-openj9/openj9,3210,2017-08-25,43,752152,177637
AxonFramework/AxonFramework,3208,2011-12-02,121,202460,52030
chrisbanes/ActionBar-PullToRefresh,3155,2013-06-04,0,2767,936
danylovolokh/VideoPlayerManager,3146,2015-07-09,0,4243,1357
mplushnikov/lombok-intellij-plugin,3109,2013-10-09,116,55948,12757
oblador/react-native-keychain,3060,2015-05-20,33,3394,1378
springdoc/springdoc-openapi,3043,2019-07-11,77,107236,34120
TNG/ArchUnit,3032,2017-04-21,36,102736,22784
camunda/zeebe,2994,2016-03-20,259,532365,134635
wildfly/wildfly,2981,2010-07-08,49,598495,184564
stephanenicolas/robospice,2953,2012-09-19,1,8415,3121
googlesamples/android-vision,2927,2015-07-01,0,4927,1854
mxdldev/android-mvp-mvvm-flytour,3137,2018-12-25,11,16368,3128
mplushnikov/lombok-intellij-plugin,3109,2013-10-09,116,0,0
oblador/react-native-keychain,3060,2015-05-20,33,0,0
springdoc/springdoc-openapi,3043,2019-07-11,77,0,0
TNG/ArchUnit,3032,2017-04-21,36,0,0
camunda/zeebe,2994,2016-03-20,259,0,0
EngineHub/WorldEdit,2971,2010-09-28,0,123866,28517
stephanenicolas/robospice,2953,2012-09-19,1,0,0
googlesamples/android-vision,2927,2015-07-01,0,0,0
WeBankFinTech/DataSphereStudio,2916,2019-11-24,11,13756,4338
prometheus/jmx_exporter,2876,2014-02-25,24,9006,2131
javaee/jersey,2875,2012-05-18,30,438313,100462
jenkinsci/blueocean-plugin,2873,2016-01-23,54,51939,13488
spring-projects/spring-data-jpa,2869,2010-11-11,120,29273,10266
google/binnavi,2861,2015-08-19,3,366945,191517
aserbao/AndroidCamera,2856,2018-05-04,1,32036,7333
w446108264/XhsEmoticonsKeyboard,2850,2015-03-06,7,5504,1105
javahongxi/whatsmars,1946,2016-04-01,19,30390,8405
willowtreeapps/Hyperion-Android,1929,2017-05-26,10,8979,2372
spring-cloud/spring-cloud-config,1923,2014-06-13,14,6553,1992
evant/binding-collection-adapter,1917,2015-05-29,0,2552,628
ninjaframework/ninja,1912,2012-06-09,0,46999,17942
dromara/raincat,1911,2017-09-01,0,14057,4603
GoogleCloudPlatform/community,1905,2016-01-25,0,2692,829
corona-warn-app/cwa-server,1901,2020-05-02,94,28559,7119
ctripcorp/x-pipe,1894,2016-03-29,2,216934,63854
apache/tinkerpop,1887,2015-02-07,0,221581,55648
hapifhir/hapi-fhir,1881,2014-06-24,91,673724,166975
quarkusio/quarkus-quickstarts,1872,2018-12-03,0,18088,5174
NordicSemiconductor/Android-BLE-Library,1858,2017-12-18,60,25139,5619
apache/bookkeeper,1844,2011-04-06,18,339558,77967
react-native-community/react-native-template-typescript,1837,2018-03-05,95,261,67
openhab/openhab-addons,1829,2014-05-13,4,910000,220933
googleapis/google-cloud-java,1821,2014-11-04,462,6392659,1023768
AndroidIDEOfficial/AndroidIDE,1819,2021-07-20,19,675022,207622
goldmansachs/gs-collections,1817,2011-12-23,15,295181,52590
blossom-editor/blossom,1807,2023-08-07,14,20557,8069
