number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
304,2017-07-10T16:18:24Z,,2018-01-05T15:46:17Z,1,3,1,"Overview

Adding Enigma Public to the public domain sources and adding the Internet Archive's data-specific sources.
Enigma's not a primary source of data, but it is a source of a lot of (more easily usable) data in the public domain, like Amazon, data.world, etc. listed in the section.",3,7
320,2017-10-06T16:50:08Z,2017-10-26T03:57:13Z,2017-10-26T03:57:13Z,1,3,0,"Overview

Dataset Description <link to dataset>_",3,4
