reviews,num_arquivos,num_linhas_adicionadas,num_linhas_deletadas,tempo_analise,num_caracteres_descricao,num_participantes,num_comentarios,was_merged
3,1,1,0,3685,624,2,1,True
1,1,48,1,10932,726,2,1,True
2,1,1,1,76903,699,3,4,True
1,1,1,1,48383,677,2,0,True
1,1,1,0,39634,694,2,1,False
1,1,1,0,84001,480,3,0,True
1,1,1,0,5043,624,2,2,False
1,1,1,0,9691,624,4,5,True
2,1,1,0,68190,664,3,1,True
1,1,0,1,4881,680,2,1,True
1,1,1,0,77452,644,2,2,True
2,1,4,0,82894,714,3,0,False
1,1,1,0,21471,624,3,1,False
3,1,1,1,76206,624,4,3,True
1,1,1,0,19711,624,4,2,False
3,1,1,0,56785,624,4,6,True
2,1,1,0,17895,624,3,1,True
1,1,1,0,28283,656,2,1,True
1,1,1,0,79606,624,2,0,False
1,1,1,0,68719,134,3,2,True
2,1,1,0,50135,624,2,1,True
1,1,1,0,49243,624,2,1,True
1,1,1,0,18979,606,2,4,True
6,1,1,0,57331,624,2,1,True
1,1,1,0,15053,624,5,7,False
1,1,1,2,78451,624,3,1,False
4,1,5,3,39931,624,3,1,False
2,1,1,0,10750,24,2,1,True
1,1,1,0,81349,624,2,2,True
1,1,1,0,20001,542,2,1,True
2,1,2,1,5393,624,2,1,True
2,1,1,0,19273,624,2,1,True
1,1,1,0,57394,624,2,1,True
1,1,1,0,20921,624,2,1,True
3,1,2,0,6036,624,4,1,False
2,1,6,0,28543,624,3,2,False
2,1,1,0,10135,624,1,1,True
1,1,2,0,43266,624,2,3,True
4,1,1,0,85610,624,2,1,True
1,1,1,0,29982,624,3,3,True
1,1,1,3,74667,624,5,4,False
1,1,11,0,42968,624,2,2,False
1,1,1,0,16619,695,2,1,False
1,1,1,0,7979,681,3,1,True
1,1,1,0,3708,624,3,1,True
3,1,1,0,71813,656,4,2,False
1,1,21,0,67321,2491,5,5,False
1,1,1,1,23534,0,3,0,True
1,1,21,0,19909,0,3,1,False
1,1,87,102,7239,115,3,5,True
1,2,10,1,6946,38,3,1,True
2,1,3,0,36513,152,2,2,True
