name_with_owner,stars,created_at,releases
languagetool-org/languagetool,11437,2013-08-08,0
realm/realm-java,11432,2012-04-20,0
frank-lam/fullstack-tutorial,11430,2018-04-13,0
macrozheng/mall-swarm,11237,2019-11-25,3
permissions-dispatcher/PermissionsDispatcher,11204,2015-08-15,40
code4craft/webmagic,11182,2013-04-23,26
careercup/CtCI-6th-Edition,11119,2015-07-02,0
jfeinstein10/SlidingMenu,11102,2012-06-30,0
apache/doris,11095,2017-08-10,39
androidannotations/androidannotations,11086,2012-01-06,0
alibaba/COLA,11074,2018-02-06,10
H07000223/FlycoTabLayout,10978,2015-11-09,4
mission-peace/interview,10977,2014-07-20,0
lingochamp/FileDownloader,10943,2015-12-22,65
amitshekhariitbhu/android-interview-questions,10818,2017-07-09,0
alibaba/vlayout,10810,2017-02-27,34
daniulive/SmarterStreaming,10787,2016-03-26,0
newbee-ltd/newbee-mall,10748,2019-09-21,0
metersphere/metersphere,10723,2020-02-03,206
square/javapoet,10655,2013-02-01,0
android-async-http/android-async-http,10644,2011-02-20,3
jeasonlzy/okhttp-OkGo,10587,2016-01-15,14
aosp-mirror/platform_frameworks_base,10568,2008-10-21,0
jhy/jsoup,10548,2009-12-19,13
cryptomator/cryptomator,10529,2014-02-02,171
xiaojieonly/Ehviewer_CN_SXJ,10510,2020-11-09,79
tbruyelle/RxPermissions,10480,2015-09-29,11
google/auto,10342,2013-05-22,65
TooTallNate/Java-WebSocket,10242,2010-01-20,17
Snoopy1866/LiTiaotiao-Custom-Rules,10199,2023-06-12,31
doocs/jvm,10119,2018-06-23,0
wasabeef/glide-transformations,9861,2015-01-09,0
asLody/VirtualApp,9827,2016-07-06,0
jwtk/jjwt,9767,2014-09-13,6
debezium/debezium,9756,2016-01-22,0
YoKeyword/Fragmentation,9721,2016-02-23,30
HarlonWang/AVLoadingIndicatorView,9718,2015-10-24,1
kekingcn/kkFileView,9674,2017-12-12,14
react-native-camera/react-native-camera,9641,2015-04-01,144
hackware1993/MagicIndicator,9632,2016-06-26,12
perwendel/spark,9592,2011-05-05,0
lzyzsd/JsBridge,9583,2015-02-26,0
koral--/android-gif-drawable,9497,2013-01-30,60
lihengming/spring-boot-api-project-seed,9487,2017-06-23,4
umano/AndroidSlidingUpPanel,9484,2013-05-31,8
MyCATApache/Mycat-Server,9461,2014-12-04,7
stanfordnlp/CoreNLP,9407,2013-06-27,15
plantuml/plantuml,9398,2010-11-04,39
trinodb/trino,9379,2019-01-19,0
apple/pkl,9145,2024-01-19,3
crossoverJie/cim,9108,2018-05-20,7
Justson/AgentWeb,9108,2017-05-12,21
android/testing-samples,9095,2014-10-11,0
datahub-project/datahub,9075,2015-11-18,82
GcsSloop/AndroidNote,9061,2016-01-04,0
ssssssss-team/spider-flow,8958,2020-03-27,2
huanghaibin-dev/CalendarView,8936,2017-03-11,0
cats-oss/android-gpuimage,8871,2012-10-04,0
laobie/StatusBarUtil,8825,2016-02-15,0
signalapp/Signal-Server,8792,2013-12-09,0
firebase/quickstart-android,8700,2016-04-26,0
zfile-dev/zfile,8677,2019-08-19,61
Freelander/Android_Data,8674,2015-04-04,0
chrisjenx/Calligraphy,8589,2013-12-20,4
facebook/buck,8573,2013-04-17,57
ybq/Android-SpinKit,8562,2016-03-20,0
json-path/JsonPath,8555,2011-01-24,10
junit-team/junit4,8496,2009-01-13,13
flowable/flowable-engine,7274,2016-10-13,26
abel533/Mapper,7247,2014-11-21,5
cymcsg/UltimateRecyclerView,7228,2015-01-28,9
Qihoo360/RePlugin,7221,2017-06-08,18
geeeeeeeeek/WeChatLuckyMoney,7197,2015-09-30,20
frohoff/ysoserial,7189,2015-01-28,1
alibaba/transmittable-thread-local,7140,2013-10-13,58
lenve/VBlog,7122,2017-12-26,0
apache/seatunnel,7121,2017-08-05,44
Exrick/xmall,7092,2017-07-28,0
Graylog2/graylog2-server,7007,2010-05-17,0
real-logic/aeron,7004,2014-02-07,95
NLPchina/elasticsearch-sql,6956,2014-08-24,225
naman14/Timber,6955,2015-06-12,5
hongyangAndroid/okhttputils,6883,2015-08-17,0
DroidPluginTeam/DroidPlugin,6861,2015-08-27,2
mapstruct/mapstruct,6741,2012-05-28,29
Meituan-Dianping/walle,6699,2017-01-10,1
didi/KnowStreaming,6693,2020-03-19,23
google/error-prone,6692,2014-08-21,38
hongyangAndroid/AndroidAutoLayout,6684,2015-11-19,0
rest-assured/rest-assured,6678,2010-10-21,0
markzhai/AndroidPerformanceMonitor,6619,2016-01-17,0
MinecraftForge/MinecraftForge,6615,2012-01-30,0
microg/GmsCore,6600,2014-04-23,32
mrniko/netty-socketio,6595,2012-01-12,16
zouzg/mybatis-generator-gui,6587,2016-05-08,16
GrenderG/Toasty,6549,2017-01-18,19
cabaletta/baritone,6519,2018-08-01,77
rabbitmq/rabbitmq-tutorials,6516,2010-09-21,0
h2pl/JavaTutorial,6480,2018-05-01,1
processing/processing,6441,2013-01-24,48
vinc3m1/RoundedImageView,6435,2013-02-22,19
PowerJob/PowerJob,6393,2020-03-16,48
ArthurHub/Android-Image-Cropper,6368,2015-01-15,32
527515025/springBoot,6327,2016-11-07,0
gzu-liyujiang/AndroidPicker,6289,2015-10-21,56
ximsfei/Android-skin-support,6285,2017-01-12,0
Meituan-Dianping/Leaf,6256,2018-12-11,0
sshahine/JFoenix,6236,2015-09-08,0
aa112901/remusic,6211,2016-03-24,0
wasabeef/richeditor-android,6182,2015-03-30,0
ityouknow/spring-cloud-examples,6176,2017-04-28,0
HMCL-dev/HMCL,6170,2015-06-22,202
getActivity/AndroidProject,6158,2018-10-23,17
joelittlejohn/jsonschema2pojo,6136,2013-06-22,62
ikew0ng/SwipeBackLayout,6127,2013-08-25,0
macrozheng/springcloud-learning,6121,2019-09-07,0
junit-team/junit5,6112,2015-01-11,66
rengwuxian/MaterialEditText,6111,2014-10-30,19
conductor-oss/conductor,6092,2023-12-08,3
fuzhengwei/itstack-demo-design,6087,2020-05-20,0
lightbend/config,6080,2011-12-06,1
daimajia/NumberProgressBar,6066,2014-05-01,3
amitshekhariitbhu/from-java-to-kotlin,6056,2017-05-21,0
pedrovgs/EffectiveAndroidUI,6033,2014-07-04,0
wiremock/wiremock,6031,2011-10-09,33
rey5137/material,6019,2014-12-09,10
graphql-java/graphql-java,6018,2015-07-06,75
singwhatiwanna/dynamic-load-apk,6016,2014-03-30,0
google/physical-web,6007,2014-09-30,17
google/grafika,5985,2013-12-19,1
google/j2objc,5976,2014-01-30,39
raphw/byte-buddy,5957,2013-11-25,275
antoniolg/androidmvp,5944,2014-04-02,0
prolificinteractive/material-calendarview,5910,2015-02-09,22
haifengl/smile,5901,2014-11-20,26
springfox/springfox,5896,2012-05-06,12
weibocom/motan,5866,2016-04-20,24
Nightonke/BoomMenu,5803,2016-03-19,0
jeremylong/DependencyCheck,5795,2012-09-03,68
confluentinc/ksql,5792,2016-09-27,8
robolectric/robolectric,5782,2010-08-28,98
Devlight/InfiniteCycleViewPager,5762,2016-08-22,2
yarolegovich/DiscreteScrollView,5742,2017-03-03,2
Vedenin/useful-java-links,5736,2016-02-13,0
hibernate/hibernate-orm,5719,2010-10-04,31
dmytrodanylyk/circular-progress-button,5703,2014-06-07,3
btraceio/btrace,5695,2014-08-28,31
k0shk0sh/FastHub,5694,2017-02-18,63
jpush/aurora-imui,5692,2016-12-13,42
JakeWharton/u2020,5681,2013-11-14,0
apache/incubator-kie-drools,5667,2011-02-18,4
gephi/gephi,5647,2011-10-22,19
amitshekhariitbhu/Fast-Android-Networking,5645,2016-03-21,8
daimajia/AndroidImageSlider,5639,2014-06-02,5
amlcurran/ShowcaseView,5595,2012-08-14,13
hanks-zyh/HTextView,5591,2015-12-19,0
hongyangAndroid/FlowLayout,5584,2015-08-28,0
kestra-io/kestra,5584,2019-08-24,64
LSPosed/LSPatch,5574,2021-03-01,9
nhaarman/ListViewAnimations,5572,2013-03-19,14
crazycodeboy/react-native-splash-screen,5557,2016-09-14,12
alipay/SoloPi,5556,2019-03-14,8
gz-yami/mall4cloud,5546,2021-08-04,4
wasabeef/Blurry,5536,2015-07-23,0
ffay/lanproxy,5508,2016-11-20,1
sockeqwe/mosby,5494,2015-03-25,15
AriaLyy/Aria,5485,2016-02-19,26
dm77/barcodescanner,5454,2014-02-24,6
HMCL-dev/HMCL,6170,2015-06-22,202
joelittlejohn/jsonschema2pojo,6136,2013-06-22,62
ikew0ng/SwipeBackLayout,6127,2013-08-25,0
macrozheng/springcloud-learning,6121,2019-09-07,0
junit-team/junit5,6112,2015-01-11,66
conductor-oss/conductor,6092,2023-12-08,3
fuzhengwei/itstack-demo-design,6087,2020-05-20,0
daimajia/NumberProgressBar,6066,2014-05-01,3
amitshekhariitbhu/from-java-to-kotlin,6056,2017-05-21,0
pedrovgs/EffectiveAndroidUI,6033,2014-07-04,0
quartz-scheduler/quartz,6025,2016-03-07,4
rey5137/material,6019,2014-12-09,10
graphql-java/graphql-java,6018,2015-07-06,75
singwhatiwanna/dynamic-load-apk,6016,2014-03-30,0
google/physical-web,6007,2014-09-30,17
google/grafika,5985,2013-12-19,1
wyouflf/xUtils3,5978,2015-10-28,9
micronaut-projects/micronaut-core,5925,2018-03-07,219
prolificinteractive/material-calendarview,5910,2015-02-09,22
haifengl/smile,5901,2014-11-20,26
springfox/springfox,5896,2012-05-06,12
liyifeng1994/ssm,5884,2016-06-18,0
weibocom/motan,5866,2016-04-20,24
jOOQ/jOOQ,5846,2011-04-17,44
lets-blade/blade,5825,2015-06-10,9
hazelcast/hazelcast,5808,2012-03-21,197
Nightonke/BoomMenu,5803,2016-03-19,0
jeremylong/DependencyCheck,5795,2012-09-03,68
confluentinc/ksql,5792,2016-09-27,8
JakeWharton/DiskLruCache,5783,2012-01-05,0
robolectric/robolectric,5782,2010-08-28,98
Devlight/InfiniteCycleViewPager,5762,2016-08-22,2
yarolegovich/DiscreteScrollView,5742,2017-03-03,2
springside/springside4,5738,2012-02-23,3
Vedenin/useful-java-links,5736,2016-02-13,0
hibernate/hibernate-orm,5719,2010-10-04,31
changmingxie/tcc-transaction,5705,2015-12-05,7
dmytrodanylyk/circular-progress-button,5703,2014-06-07,3
btraceio/btrace,5695,2014-08-28,31
k0shk0sh/FastHub,5694,2017-02-18,63
jpush/aurora-imui,5692,2016-12-13,42
JakeWharton/u2020,5681,2013-11-14,0
apache/incubator-kie-drools,5667,2011-02-18,4
gephi/gephi,5647,2011-10-22,19
daimajia/AndroidImageSlider,5639,2014-06-02,5
auth0/java-jwt,5637,2014-03-07,44
journeyapps/zxing-android-embedded,5627,2012-11-28,9
hanks-zyh/HTextView,5591,2015-12-19,0
hongyangAndroid/FlowLayout,5584,2015-08-28,0
kestra-io/kestra,5584,2019-08-24,64
PojavLauncherTeam/PojavLauncher,5577,2020-03-11,124
LSPosed/LSPatch,5574,2021-03-01,9
knightliao/disconf,5572,2014-05-30,12
nhaarman/ListViewAnimations,5572,2013-03-19,14
crazycodeboy/react-native-splash-screen,5557,2016-09-14,12
yanzhenjie/SwipeRecyclerView,5556,2016-08-03,0
alipay/SoloPi,5556,2019-03-14,8
gz-yami/mall4cloud,5546,2021-08-04,4
ffay/lanproxy,5508,2016-11-20,1
Nepxion/Discovery,5506,2018-06-21,128
Col-E/Recaf,5497,2017-07-27,168
