name_with_owner,stars,created_at,releases,loc,cbo,dit,lcom
redis/jedis,11554,2010-06-11,99,90516,4960,1431,534368
itwanger/toBeBetterJavaer,11537,2018-11-08,0,0,0,0,0
Tencent/matrix,11339,2018-12-11,16,79032,7913,1871,17962
gyf-dev/ImmersionBar,11119,2017-04-19,0,7237,902,299,22614
jfeinstein10/SlidingMenu,11102,2012-06-30,0,3085,379,145,3511
grpc/grpc-java,11097,2014-12-08,158,232656,27837,7021,63055
apache/doris,11095,2017-08-10,39,0,0,0,0
tink-crypto/tink,13444,2014-06-06,21,82028,11224,1888,43637
java-decompiler/jd-gui,13404,2015-03-25,18,19309,1847,984,4524
Bigkoo/Android-PickerView,13393,2014-12-28,0,4421,339,105,1410
deeplearning4j/deeplearning4j,13381,2013-11-27,0,551064,47664,12101,310619757
questdb/questdb,13354,2014-04-28,77,0,0,0,0
seaswalker/spring-analysis,13341,2016-09-09,0,378,80,41,59
GoogleContainerTools/jib,13312,2018-01-22,154,34908,4953,856,12032
JessYanCoding/AndroidAutoSize,13289,2018-08-17,14,1720,265,69,1533
gyoogle/tech-interview-for-developer,13186,2019-06-09,0,636,17,13,12
pinpoint-apm/pinpoint,13171,2014-10-20,56,358397,50043,11145,165036
LuckSiege/PictureSelector,13010,2017-01-04,116,39103,3800,912,36444
Netflix/conductor,12923,2016-12-07,319,47052,4979,833,52240
facebookarchive/stetho,12665,2015-01-22,13,19224,2572,836,4405
macrozheng/mall-learning,12656,2019-04-12,0,29041,2087,479,204732
greenrobot/greenDAO,12609,2011-10-22,8,18545,1827,765,17273
theonedev/onedev,12513,2018-11-06,316,265714,43086,10688,158460
zhihu/Matisse,12481,2017-04-13,15,3418,506,106,614
daimajia/AndroidViewAnimations,12391,2014-06-23,9,965,277,148,188
daimajia/AndroidSwipeLayout,12350,2014-08-25,18,2770,275,98,4359
neo4j/neo4j,12323,2012-11-12,72,606489,78216,17880,539684
google/guice,12321,2014-05-28,19,79639,14392,4834,29995
janishar/mit-deep-learning-book-pdf,12231,2017-04-07,3,2,0,1,0
codecentric/spring-boot-admin,12113,2014-07-25,118,13795,3564,582,3317
zaproxy/zaproxy,11867,2015-06-03,9,181507,11844,4784,173585
apache/dolphinscheduler,11824,2019-03-01,51,106165,16832,3399,39908
chat2db/Chat2DB,11820,2023-06-20,34,24247,5192,1064,9169
Tencent/VasSonic,11772,2017-08-01,10,7421,466,142,2399
pxb1988/dex2jar,11747,2015-03-16,8,41716,3100,897,12067
Yalantis/uCrop,11739,2016-01-05,16,4669,485,105,2226
supertokens/supertokens-core,11733,2020-01-05,65,84822,8252,1253,43270
itwanger/toBeBetterJavaer,11537,2018-11-08,0,0,0,0,0
languagetool-org/languagetool,11437,2013-08-08,0,0,0,0,0
realm/realm-java,11432,2012-04-20,0,110015,8199,2319,98917
frank-lam/fullstack-tutorial,11430,2018-04-13,0,0,0,0,0
macrozheng/mall-swarm,11237,2019-11-25,3,101196,2996,962,845259
permissions-dispatcher/PermissionsDispatcher,11204,2015-08-15,40,3184,193,146,4091
code4craft/webmagic,11182,2013-04-23,26,8849,1464,379,3955
careercup/CtCI-6th-Edition,11119,2015-07-02,0,21093,1296,651,2730
jfeinstein10/SlidingMenu,11102,2012-06-30,0,3085,379,145,3511
apache/doris,11095,2017-08-10,39,0,0,0,0
androidannotations/androidannotations,11086,2012-01-06,0,28800,5737,1621,25133
alibaba/COLA,11074,2018-02-06,10,6549,1682,581,1703
H07000223/FlycoTabLayout,10978,2015-11-09,4,2730,213,51,7362
mission-peace/interview,10977,2014-07-20,0,27259,1343,692,2274
lingochamp/FileDownloader,10943,2015-12-22,65,14387,1218,454,11302
amitshekhariitbhu/android-interview-questions,10818,2017-07-09,0,5,0,1,0
alibaba/vlayout,10810,2017-02-27,34,14042,845,295,11534
daniulive/SmarterStreaming,10787,2016-03-26,0,10750,662,181,12307
