name_with_owner,stars,created_at,releases,loc,cbo,dit,lcom
apache/hbase,5081,2014-05-23,38,924855,90350,16884,792374
apache/pinot,5072,2014-05-19,20,415981,39018,8095,255886
CodingDocs/springboot-guide,5028,2018-11-28,0,1522,572,164,188
Trinea/android-common,5014,2012-06-19,1,6707,488,137,4737
alibaba/UltraViewPager,5004,2017-03-29,10,1518,125,33,1401
orhanobut/dialogplus,5004,2014-12-12,9,1047,152,30,1678
apache/hudi,4998,2016-12-14,26,233355,32141,5652,203934
frogermcs/InstaMaterial,4997,2014-11-10,1,2223,383,123,795
spring-attic/spring-mvc-showcase,4997,2011-06-03,0,1281,300,70,548
yipianfengye/android-zxingLibrary,4993,2016-07-26,0,2018,245,69,293
TeamAmaze/AmazeFileManager,4992,2014-07-14,66,31849,3263,648,12654
rubensousa/GravitySnapHelper,4988,2016-08-31,14,610,51,14,463
DerekYRC/mini-spring,4975,2020-11-17,0,2472,508,182,757
JodaOrg/joda-time,4966,2011-05-16,47,91523,4775,1272,164382
amitshekhariitbhu/RxJava2-Android-Samples,4965,2016-08-27,0,3992,678,232,1163
jetlinks/jetlinks-community,4958,2020-01-02,18,43559,12128,1756,17318
Devlight/NavigationTabBar,4948,2016-03-29,13,2538,233,76,3335
OpenTSDB/opentsdb,4938,2010-08-27,26,103599,6736,1209,61823
traex/RippleEffect,4938,2014-10-14,0,504,65,26,440
web3j/web3j,4910,2016-09-04,108,39763,5070,2040,39201
deathmarine/Luyten,4903,2013-07-11,17,6750,303,199,1993
Ramotion/folding-cell-android,4888,2016-04-01,0,812,87,28,281
youlookwhat/CloudReader,4881,2016-11-20,25,19377,2333,716,9565
Doikki/DKVideoPlayer,4871,2017-04-11,32,18446,2008,600,17626
natario1/CameraView,4837,2017-07-18,42,21155,2989,734,18563
spring-cloud/spring-cloud-netflix,4834,2014-07-11,11,7694,1594,247,22591
andkulikov/Transitions-Everywhere,4832,2014-10-15,23,9485,1326,324,4964
jankotek/mapdb,4821,2012-08-17,0,20198,852,532,21526
react-native-linear-gradient/react-native-linear-gradient,4791,2015-03-31,18,488,98,31,203
reactor/reactor-core,4791,2015-11-10,163,199263,15570,3677,268919
citerus/dddsample-core,4786,2015-01-31,0,4728,1123,188,1112
saiwu-bigkoo/Android-ConvenientBanner,4774,2014-12-23,0,848,140,42,226
zhanglei-workspace/shopping-management-system,4772,2015-11-16,0,5353,341,132,7404
brianfrankcooper/YCSB,4767,2010-04-19,55,22046,1636,381,1797
etsy/AndroidStaggeredGrid,4763,2013-12-09,7,4010,211,67,5612
nayuki/QR-Code-generator,4749,2016-04-15,3,1825,75,27,372
traccar/traccar,4735,2012-04-16,48,66936,9776,3338,10216
roncoo/roncoo-pay,4730,2016-07-21,0,19910,2051,505,24797
reactive-streams/reactive-streams-jvm,4729,2014-02-28,0,15738,1433,586,9334
lugg/react-native-config,4727,2016-02-23,23,428,105,32,45
cglib/cglib,4726,2014-03-29,15,17670,1602,763,130375
hongyangAndroid/baseAdapter,4720,2015-08-03,0,1563,244,66,914
nisrulz/android-tips-tricks,4707,2016-08-25,0,22,1,1,0
spring-projects/spring-authorization-server,4690,2020-03-17,49,32570,6163,811,9584
spring-attic/spring-security-oauth,4688,2011-07-26,0,35204,6058,1601,13386
xuexiangjys/XUI,4686,2019-01-07,23,90921,9493,2748,87339
WuKongOpenSource/WukongCRM-11.0-JAVA,4681,2021-04-06,0,64304,13353,2158,23258
orientechnologies/orientdb,4680,2012-12-09,210,475102,34811,8524,1677616
kyleduo/SwitchButton,4680,2014-09-09,0,1543,118,38,2227
jgilfelt/chuck,4672,2017-02-07,5,1698,245,58,2341
Exrick/xpay,4670,2017-12-12,0,1449,135,21,1962
remkop/picocli,4668,2017-02-01,84,95169,8720,3218,173028
alibaba/jetcache,4667,2017-04-12,64,17983,2680,729,7025
wdullaer/MaterialDateTimePicker,4666,2015-01-03,54,7536,481,107,9317
apache/ignite,4658,2015-02-19,0,1102692,115838,34634,9578926
ronmamo/reflections,4653,2013-04-16,3,4782,546,227,2691
line/armeria,4634,2015-11-16,230,260958,35793,7502,206724
techGay/v9porn,4631,2018-04-12,9,24718,3655,995,36880
pmd/pmd,4611,2012-07-11,89,120237,19839,7491,94487
SplashCodes/JAViewer,4597,2016-05-21,10,6309,1036,286,2085
graphhopper/graphhopper,4596,2012-02-18,41,93685,9182,1733,42099
firebase/FirebaseUI-Android,4586,2015-07-09,65,13829,2923,575,3575
xuchengsheng/spring-reading,4581,2023-09-15,0,2165,545,211,127
CellularPrivacy/Android-IMSI-Catcher-Detector,4579,2013-11-23,48,12171,1270,334,1246
chentao0707/SimplifyReader,4568,2015-08-17,0,34709,2880,877,38106
bisq-network/bisq,4566,2014-03-12,135,173287,26816,6357,110338
tuguangquan/mybatis,4562,2014-11-03,0,39118,3880,1355,22305
Fuzion24/JustTrustMe,4551,2014-07-24,1,556,68,29,42
LWJGL/lwjgl3,4542,2012-12-23,18,898225,56222,19999,8709853
puniverse/quasar,4541,2013-03-27,18,52770,4569,2020,48560
jdamcd/android-crop,4541,2014-03-13,6,1676,133,43,821
jeequan/jeepay,4537,2017-08-12,0,16513,4742,961,2284
Flipboard/bottomsheet,4536,2015-04-23,10,2578,333,93,1881
runelite/runelite,4534,2016-04-30,0,218308,13128,2956,87311
javagrowing/JGrowing,4527,2019-02-26,0,329,29,19,37
jagrosh/MusicBot,4526,2016-08-14,35,3872,593,229,852
apache/rocketmq-externals,4523,2017-03-14,0,9956,1461,312,4091
alibaba/QLExpress,4520,2017-03-15,5,12385,1385,519,4133
alibaba/dexposed,4502,2015-06-30,0,2414,105,61,2982
JakeWharton/NineOldAndroids,4499,2011-12-08,0,7585,592,198,4160
castorflex/SmoothProgressBar,4496,2013-11-27,9,2208,233,59,1263
TheoKanning/openai-java,4463,2020-09-15,22,2783,889,179,2566
cjlin1/libsvm,4457,2013-09-10,0,3152,111,46,667
stleary/JSON-java,4456,2010-12-21,21,11334,279,109,25190
zlt2000/microservices-platform,4456,2019-03-07,30,7987,2294,449,2411
youlookwhat/DesignPattern,4452,2016-10-21,0,2603,500,252,281
Heeexy/SpringBoot-Shiro-Vue,4449,2017-11-17,0,633,156,38,255
react-native-webrtc/react-native-webrtc,4442,2015-09-27,71,4004,408,77,607
square/android-times-square,4437,2013-01-30,0,2286,214,58,1216
janishar/android-mvp-architecture,4431,2017-01-27,0,4049,849,202,2060
baomidou/dynamic-datasource,4423,2018-04-28,17,4789,787,189,399
brunodev85/winlator,4420,2023-07-26,8,17408,1748,419,7817
CaffeineMC/sodium-fabric,4415,2020-02-01,32,19178,3000,600,5858
SPLWare/esProc,4408,2021-11-09,0,429667,17677,5763,251600
dromara/hertzbeat,4395,2022-02-04,28,32555,4629,803,12993
Meituan-Dianping/Robust,4389,2017-03-14,13,2953,148,53,729
GeyserMC/Geyser,4386,2019-07-08,0,46292,7642,1982,31770
Tencent/GT,4383,2016-01-13,3,55246,4071,1352,14356
firebase/FirebaseUI-Android,4586,2015-07-09,65,13829,2923,575,3575
xuchengsheng/spring-reading,4581,2023-09-15,0,2165,545,211,127
CellularPrivacy/Android-IMSI-Catcher-Detector,4579,2013-11-23,48,12171,1270,334,1246
bisq-network/bisq,4566,2014-03-12,135,173287,26816,6357,110338
tuguangquan/mybatis,4562,2014-11-03,0,39118,3880,1355,22305
Fuzion24/JustTrustMe,4551,2014-07-24,1,556,68,29,42
LWJGL/lwjgl3,4542,2012-12-23,18,898225,56222,19999,8709853
puniverse/quasar,4541,2013-03-27,18,52770,4569,2020,48560
jdamcd/android-crop,4541,2014-03-13,6,1676,133,43,821
querydsl/querydsl,4538,2011-08-05,35,98628,16818,6423,138653
jeequan/jeepay,4537,2017-08-12,0,16513,4742,961,2284
Flipboard/bottomsheet,4536,2015-04-23,10,2578,333,93,1881
runelite/runelite,4534,2016-04-30,0,218308,13128,2956,87311
javagrowing/JGrowing,4527,2019-02-26,0,329,29,19,37
jagrosh/MusicBot,4526,2016-08-14,35,3872,593,229,852
apache/rocketmq-externals,4523,2017-03-14,0,9956,1461,312,4091
alibaba/QLExpress,4520,2017-03-15,5,12385,1385,519,4133
alibaba/dexposed,4502,2015-06-30,0,2414,105,61,2982
JakeWharton/NineOldAndroids,4499,2011-12-08,0,7585,592,198,4160
castorflex/SmoothProgressBar,4496,2013-11-27,9,2208,233,59,1263
HotBitmapGG/bilibili-android-client,4481,2016-06-01,1,38892,2751,1016,23920
TheoKanning/openai-java,4463,2020-09-15,22,2783,889,179,2566
cjlin1/libsvm,4457,2013-09-10,0,3152,111,46,667
stleary/JSON-java,4456,2010-12-21,21,11334,279,109,25190
zlt2000/microservices-platform,4456,2019-03-07,30,7987,2294,449,2411
youlookwhat/DesignPattern,4452,2016-10-21,0,2603,500,252,281
Heeexy/SpringBoot-Shiro-Vue,4449,2017-11-17,0,633,156,38,255
react-native-webrtc/react-native-webrtc,4442,2015-09-27,71,4004,408,77,607
square/android-times-square,4437,2013-01-30,0,2286,214,58,1216
janishar/android-mvp-architecture,4431,2017-01-27,0,4049,849,202,2060
baomidou/dynamic-datasource,4423,2018-04-28,17,4789,787,189,399
brunodev85/winlator,4420,2023-07-26,8,17408,1748,419,7817
CaffeineMC/sodium-fabric,4415,2020-02-01,32,19178,3000,600,5858
SPLWare/esProc,4408,2021-11-09,0,429667,17677,5763,251600
dromara/hertzbeat,4395,2022-02-04,28,32555,4629,803,12993
azkaban/azkaban,4392,2012-10-18,48,93837,8304,1735,45983
Meituan-Dianping/Robust,4389,2017-03-14,13,2953,148,53,729
GeyserMC/Geyser,4386,2019-07-08,0,46292,7642,1982,31770
Tencent/GT,4383,2016-01-13,3,55246,4071,1352,14356
phishman3579/java-algorithms-implementation,4377,2013-11-20,0,31758,1629,695,3095
robinhood/ticker,4375,2016-07-15,9,1581,143,41,856
chewiebug/GCViewer,4370,2011-10-23,5,20257,1525,629,14227
strimzi/strimzi-kafka-operator,4368,2016-05-06,133,125047,17221,2212,59562
Ashok-Varma/BottomNavigation,4357,2016-03-19,16,2091,226,43,2078
awangdev/leet-code,4356,2015-04-25,0,2163,171,84,89
PhilippC/keepass2android,4351,2017-09-20,27,67544,4316,1604,40591
bytedeco/javacpp,4340,2014-04-21,11,26168,1093,393,29976
liquibase/liquibase,4338,2011-07-08,93,95403,11376,3122,113135
JZ-Darkal/AndroidHttpCapture,4337,2016-10-15,1,15905,1496,451,11730
spring-cloud/spring-cloud-gateway,4336,2016-11-16,12,37548,7639,1515,18934
tianshiyeben/wgcloud,4321,2019-01-15,23,6105,713,141,4500
tiann/epic,4321,2017-05-22,5,5127,481,242,4529
krahets/LeetCode-Book,4320,2021-12-17,0,3121,344,258,22
bingoogolapple/BGARefreshLayout-Android,4313,2015-05-28,4,5450,834,228,1587
rubenlagus/TelegramBots,4313,2016-01-14,83,16608,5456,1377,5946
apache/calcite,4306,2014-06-25,0,338992,40685,9168,1723441
apache/nifi,4304,2014-12-12,0,656780,72374,15702,544639
dreamhead/moco,4304,2012-10-18,1,17542,3358,888,19997
mcxiaoke/android-volley,4300,2013-05-21,0,4965,672,250,2088
RedSpider1/concurrent,4299,2018-11-03,0,0,0,0,0
gz-yami/mall4j,4296,2019-07-04,4,6705,2323,438,1570
micrometer-metrics/micrometer,4290,2017-04-10,217,70552,9911,2233,34357
jeasonlzy/ImagePicker,4283,2016-01-27,5,3685,443,113,1754
aporter/coursera-android,4275,2014-01-05,0,18164,2583,912,2042
zq2599/blog_demos,4267,2017-04-09,0,51934,7284,2174,27544
grantland/android-autofittextview,4247,2011-02-14,1,470,43,11,326
apache/shiro,4245,2009-08-29,9,36524,5093,1826,20182
ongakuer/CircleIndicator,4243,2014-07-30,7,1712,293,73,383
648540858/wvp-GB28181-pro,4232,2020-11-14,0,34520,3959,556,65071
apache/iotdb,4223,2018-11-24,35,521940,46269,9666,603162
jindrapetrik/jpexs-decompiler,4216,2014-05-10,155,302484,21914,7000,210014
osmandapp/OsmAnd,4211,2011-01-15,1,643128,47663,9047,567228
bjmashibing/InternetArchitect,4206,2019-10-19,0,44604,3237,800,44065
981011512/--,4200,2020-06-18,0,338075,17954,14755,2232521
brianway/java-learning,4197,2016-02-09,0,10984,817,969,449
Freeyourgadget/Gadgetbridge,4191,2015-01-05,0,188044,18431,6038,137562
ikarus23/MifareClassicTool,4187,2013-02-12,7,6615,365,75,3475
Jacksgong/JKeyboardPanelSwitch,4185,2015-07-01,14,1736,260,65,369
killme2008/aviatorscript,4179,2011-03-29,50,36870,2423,769,31413
dunwu/db-tutorial,4170,2017-08-08,0,9608,1006,228,5675
bingoogolapple/BGABanner-Android,4160,2014-10-25,0,2123,265,84,1393
tonikelope/megabasterd,4159,2016-09-29,207,20673,555,299,17230
yhaolpz/FloatWindow,4157,2017-11-14,9,1473,166,56,428
eirslett/frontend-maven-plugin,4151,2013-08-30,0,3350,506,160,578
oracle/opengrok,4143,2013-01-07,265,69601,5908,1825,88242
baoyachi/StepView,4141,2016-06-22,13,906,111,33,238
pedrovgs/AndroidWiFiADB,4135,2015-10-18,8,1096,86,45,364
diffplug/spotless,4110,2015-04-27,0,32144,4156,1435,10441
AlmasB/FXGL,4108,2015-03-23,57,32399,3220,1018,21972
will-che/flink-recommandSystem-demo,4107,2019-05-15,0,1835,287,83,493
alibaba/Tangram-Android,4106,2017-03-29,38,24338,3019,963,13323
dinuscxj/LoadingDrawable,4086,2016-04-16,0,4428,423,94,1029
apache/maven,4085,2009-05-21,13,82057,10505,2631,101456
dromara/hmily,4082,2017-09-28,0,27504,4711,1070,9336
failsafe-lib/failsafe,4068,2015-06-30,0,10026,1520,491,4564
ant-media/Ant-Media-Server,4065,2017-03-01,52,84630,5724,1304,156753
ddd-by-examples/library,4061,2019-01-11,0,1770,835,128,668
mybatis/spring-boot-starter,4038,2015-09-25,30,4428,790,214,2831
jitsi/jitsi,4036,2013-04-24,7,196478,17500,6117,126665
JeremyLiao/LiveEventBus,3749,2018-07-11,0,7782,994,342,1243
knowm/XChange,3744,2012-02-02,0,157705,29902,7756,140601
stylefeng/Guns,3744,2017-07-06,0,328,133,26,180
timehop/sticky-headers-recyclerview,3742,2014-10-03,0,808,134,37,94
promeG/TinyPinyin,3717,2015-09-30,2,1399,134,71,569
willowtreeapps/spruce-android,3715,2017-02-23,3,4269,593,167,653
wendux/DSBridge-Android,3707,2017-01-02,2,1841,140,52,751
yanzhenjie/NoHttp,3707,2015-07-29,0,8428,1016,342,10408
ryanhoo/StylishMusicPlayer,3694,2016-09-13,0,5777,975,254,2564
yangfuhai/ASimpleCache,3681,2013-07-28,0,1993,129,42,1117
fishercoder1534/Leetcode,3672,2016-07-31,0,120494,6905,4376,1326
jMonkeyEngine/jmonkeyengine,3671,2014-03-20,60,199141,21210,5610,171653
apache/incubator-streampark,3667,2019-05-27,24,19714,3432,576,10617
Atmosphere/atmosphere,3665,2010-06-30,0,42052,4882,1175,41273
awaitility/awaitility,3657,2010-01-22,0,5324,536,203,2471
mcxtzhang/SwipeDelMenuLayout,3656,2016-08-25,2,1085,124,50,208
google/rejoiner,3656,2017-12-06,3,3566,867,206,645
jlegewie/zotfile,3656,2011-12-30,33,0,0,0,0
allure-framework/allure2,3655,2016-05-27,68,7855,1625,354,2940
stfalcon-studio/ChatKit,3655,2017-02-02,1,4680,623,313,3832
vaticle/typedb,3650,2016-07-11,114,87806,11568,3552,40366
lisawray/groupie,3641,2016-09-01,28,3898,474,170,2781
apache/incubator-heron,3639,2015-09-25,56,70465,9545,2456,34753
pingfangushi/screw,3634,2020-06-21,0,3941,678,184,713
ethanhua/Skeleton,3618,2017-07-30,0,752,123,41,152
KunMinX/Linkage-RecyclerView,3615,2019-04-22,0,2552,480,116,779
rockerhieu/emojicon,3611,2014-01-18,2,2971,201,61,264
Snailclimb/guide-rpc-framework,3608,2020-05-10,0,1560,386,92,96
yanzhenjie/AndServer,3601,2016-06-14,1,12029,1075,330,10283
ByteLegend/ByteLegend,3599,2021-02-01,0,104032,2059,296,214714
tyrantgit/ExplosionField,3597,2015-09-23,0,343,49,15,43
dongjunkun/DropDownMenu,3593,2015-06-23,2,513,86,26,41
networknt/light-4j,3587,2016-09-09,182,53927,4282,1107,24220
shuzijun/leetcode-editor,3581,2019-03-19,51,13215,1869,516,6034
nining377/dolby_beta,3579,2020-05-19,37,7301,767,269,1473
johncarl81/parceler,3562,2013-07-03,0,10156,2065,594,7299
tronprotocol/java-tron,3560,2017-12-26,76,141366,13977,2853,116205
linhaojun857/aurora,3556,2022-08-19,0,4956,2179,334,2170
arimorty/floatingsearchview,3548,2015-11-22,0,4170,482,159,3548
davideas/FlexibleAdapter,3546,2015-05-02,30,15853,1964,689,33353
bilibili/MagicaSakura,3544,2016-06-23,3,5367,697,141,2137
luontola/retrolambda,3539,2013-07-20,0,4848,594,339,2161
google/data-transfer-project,3538,2018-01-04,61,29341,5537,1016,5662
geoserver/geoserver,3534,2011-11-10,42,731092,85027,21643,509778
code4craft/netty-learning,3534,2013-09-19,0,68759,5894,1921,45686
JakeWharton/ThreeTenABP,3533,2015-07-03,0,117,30,10,10
nytimes/Store,3533,2016-11-29,0,11288,1798,453,4946
WVector/AppUpdate,3532,2017-06-19,3,2925,284,74,2377
dropbox/hackpad,3530,2015-08-14,0,87731,3150,1118,94273
andremion/Music-Player,3515,2016-05-06,2,926,141,56,161
googlemaps/android-maps-utils,3515,2013-05-17,42,13329,1431,344,7900
react-native-share/react-native-share,3512,2015-09-30,114,1755,223,82,349
baoyongzhang/SwipeMenuListView,3510,2014-08-24,2,1347,145,48,503
undertow-io/undertow,3506,2012-07-19,0,158682,15832,3795,110057
vert-x3/vertx-examples,3503,2015-02-24,0,8882,1864,670,525
ZHENFENG13/My-Blog,3496,2019-03-04,0,2411,276,61,1714
bitcoin-wallet/bitcoin-wallet,3495,2012-03-31,18,18187,2888,663,2142
codeestX/GeekNews,3491,2016-08-07,0,11939,2031,635,4394
uber/NullAway,3484,2017-09-01,14,19240,2196,612,21290
spockframework/spock,3483,2010-12-12,22,23627,3678,1000,23788
huburt-Hu/NewbieGuide,3460,2017-07-28,20,1896,336,92,814
201206030/novel-plus,3450,2020-05-02,23,14682,2511,478,18246
JCTools/JCTools,3448,2013-11-10,18,37082,3626,3080,15733
00-Evan/shattered-pixel-dungeon,3447,2014-07-31,46,135533,15128,7584,32025
sofastack/sofa-jraft,3446,2019-03-04,29,145619,9390,2211,113301
KingJA/LoadSir,3445,2017-09-02,6,1481,384,115,297
xcc3641/SeeWeather,3444,2016-02-20,2,3101,522,163,649
crossoverJie/SSM,3442,2016-06-21,10,12864,695,251,24155
FasterXML/jackson-databind,3436,2011-12-23,0,155458,18501,8416,124015
guolindev/giffun,3435,2019-01-28,0,22397,2573,611,12112
openhab/openhab1-addons,3433,2013-09-20,14,359292,30420,8099,810033
rubensousa/PreviewSeekBar,3427,2017-01-24,10,1166,130,27,648
fyhertz/libstreaming,3426,2013-01-30,0,6798,318,126,2073
jtablesaw/tablesaw,3423,2016-01-01,79,47849,4645,959,82256
sherxon/AlgoDS,3418,2016-12-16,0,21217,950,713,1002
ittianyu/BottomNavigationViewEx,3414,2016-11-12,19,1371,142,46,1454
yigit/android-priority-jobqueue,3408,2014-06-20,0,14102,1816,651,4108
spring-cloud/spring-cloud-kubernetes,3407,2016-12-13,14,31043,8064,1313,5388
alamkanak/Android-Week-View,3402,2014-09-17,4,2003,98,34,6435
anggrayudi/android-hidden-api,3393,2015-09-16,1,480,34,4,226
GitLqr/LQRWeChat,3387,2017-02-07,0,17612,1932,547,7309
zhkl0228/unidbg,3385,2019-02-26,14,89493,9029,2738,44726
helidon-io/helidon,3363,2018-08-27,94,339213,45954,11530,184456
Dimezis/BlurView,3361,2016-04-21,27,708,151,42,161
PlexPt/chatgpt-java,3360,2022-12-07,20,968,335,71,82
google/volley,3358,2017-01-24,9,9295,1199,392,2838
alibaba/fastjson2,3354,2022-04-17,48,385066,22604,10259,2634404
uber/AutoDispose,3354,2016-12-22,4,5399,1037,183,2762
lukas-krecan/ShedLock,3337,2016-12-11,0,10271,2107,720,2427
phodal/migration,3335,2020-01-08,0,101,17,12,1
spring-io/initializr,3331,2013-06-07,15,29866,4257,898,22316
google/bundletool,3327,2018-05-04,57,52103,8199,1076,67823
woxingxiao/BubbleSeekBar,3317,2016-11-03,12,1958,147,39,2751
spotbugs/spotbugs,3310,2016-11-04,61,210989,21067,6704,133698
WritingMinds/ffmpeg-android-java,3306,2014-09-11,8,1306,137,68,363
Mojang/brigadier,3304,2014-09-15,3,4309,563,98,3784
actorapp/actor-platform,3294,2015-06-21,97,134425,15950,4729,56451
dromara/dynamic-tp,3293,2022-01-07,13,14993,2410,648,9227
lihangleo2/ShadowLayout,3286,2019-07-09,27,2070,163,41,699
googlesamples/mlkit,3284,2020-05-28,1,9234,1350,266,1337
aragozin/jvm-tools,3280,2012-04-28,0,33940,2592,751,12843
microservices-patterns/ftgo-application,3278,2017-10-23,0,6868,1978,440,3031
Red5/red5-server,3278,2013-11-19,84,60815,4964,1312,42935
ferredoxin/QNotified,3277,2019-03-24,28,35481,3069,833,24409
eishay/jvm-serializers,3271,2010-04-25,0,31495,2337,665,16131
eleme/UETool,3257,2018-05-16,10,4165,634,197,900
java-aodeng/hope-boot,3257,2018-10-17,2,2870,687,153,759
UnevenSoftware/LeafPic,3255,2016-01-07,7,13594,1700,410,6139
apache/logging-log4j2,3252,2013-06-12,8,165755,18423,5077,155459
gouthampradhan/leetcode,3243,2017-03-09,0,19926,1002,624,702
BelooS/ChipsLayoutManager,3243,2016-08-03,11,6101,1210,313,4097
tangqi92/Android-Tips,3234,2015-09-10,0,177,7,7,4
LibrePDF/OpenPDF,3230,2016-07-11,69,96327,5889,1468,84648
ragunathjawahar/android-saripaar,3229,2012-09-08,3,4723,776,280,1745
jfinal/jfinal,3226,2012-04-25,0,32909,2606,844,43876
yacy/yacy_search_server,3224,2015-03-22,0,148705,7980,1885,58809
pengjianbo/GalleryFinal,3223,2015-09-21,4,7997,730,187,5965
apache/linkis,3222,2019-07-23,30,100636,12730,3443,85146
cSploit/android,3221,2014-10-04,33,22657,2155,777,8014
mbechler/marshalsec,3220,2017-05-22,0,2207,525,131,1044
android-notes/Cockroach,3219,2017-02-14,1,1562,184,67,190
fesh0r/fernflower,3217,2014-10-03,0,57394,2680,764,19785
guoguibing/librec,3215,2014-01-09,3,30216,3285,987,11807
alibaba/cobar,3211,2014-01-15,1,63193,5249,1840,43701
eclipse-openj9/openj9,3210,2017-08-25,43,642657,24432,11031,789613
AxonFramework/AxonFramework,3208,2011-12-02,121,130238,20208,4398,54069
daimajia/AndroidViewHover,3206,2014-08-08,4,712,68,23,1242
bauerca/drag-sort-listview,3198,2012-06-01,0,4301,306,138,2268
amitshekhariitbhu/PRDownloader,3196,2017-11-11,5,4709,374,167,1527
bilibili/boxing,3193,2017-01-22,1,5910,910,187,2865
LinShunKang/MyPerf4J,3190,2018-03-11,22,10871,1277,377,3321
crazyandcoder/citypicker,3183,2016-05-12,4,6571,644,200,5077
java8/Java8InAction,3177,2013-10-28,0,3724,339,209,505
nicolasgramlich/AndEngine,3176,2011-11-22,0,33585,2965,1320,43946
WuKongOpenSource/Wukong_HRM,3174,2023-10-17,0,44204,8251,1498,23228
Skykai521/StickerCamera,3170,2015-07-05,0,14361,1296,591,11963
zzz40500/GsonFormat,3169,2014-10-31,4,5684,297,153,5766
tchiotludo/akhq,3161,2018-09-09,39,16504,2243,353,8802
Aliucord/Aliucord,3161,2021-02-27,13,4948,574,119,6027
chrisbanes/ActionBar-PullToRefresh,3155,2013-06-04,0,3717,576,180,903
danylovolokh/VideoPlayerManager,3146,2015-07-09,0,4228,515,156,1183
hongyangAndroid/Highlight,3143,2015-10-08,0,964,156,51,427
wenbochang888/house,3140,2018-11-02,0,126,24,7,4
KeepSafe/ReLinker,3134,2015-10-15,12,1224,138,56,189
requery/requery,3133,2015-11-14,43,23679,3937,988,18743
airbnb/native-navigation,3129,2016-09-16,0,4473,611,149,3233
mmin18/RealtimeBlurView,3129,2016-09-21,0,676,95,27,87
evrencoskun/TableView,3120,2017-06-13,12,5170,712,174,6177
hitherejoe/animate,3119,2015-11-16,0,1706,357,104,215
Netflix/concurrency-limits,3111,2017-12-11,94,4795,581,161,958
mplushnikov/lombok-intellij-plugin,3109,2013-10-09,116,31847,5615,2340,20113
dunwu/javacore,3108,2017-08-18,0,20749,1077,1231,1932
florent37/ShapeOfView,3106,2018-02-18,0,2078,238,83,1335
zaaach/CityPicker,3105,2016-02-27,2,1295,190,63,275
bastillion-io/Bastillion,3078,2013-02-07,18,5129,464,85,2067
rbmonster/learning-note,3072,2020-06-15,0,13368,1444,772,1904
bethrobson/Head-First-Design-Patterns,3061,2014-04-28,0,9734,1138,687,1555
oblador/react-native-keychain,3060,2015-05-20,33,2491,393,96,2279
apache/curator,3059,2014-03-03,0,47870,6680,1566,15252
gabrielemariotti/RecyclerViewItemAnimators,3051,2014-08-22,0,2088,294,93,231
KeepSafe/dexcount-gradle-plugin,3051,2015-06-04,21,2550,328,93,1866
yarolegovich/SlidingRootNav,3050,2017-03-26,1,971,148,51,727
sofastack/sofa-jarslink,3044,2018-02-02,2,948,118,38,70
springdoc/springdoc-openapi,3043,2019-07-11,77,41679,11097,3521,28656
CrawlScript/WebCollector,3040,2014-07-12,0,4605,538,284,4795
react-native-google-signin/google-signin,3035,2015-08-13,59,620,87,23,111
TNG/ArchUnit,3032,2017-04-21,36,78733,13042,4597,143807
IrisShaders/Iris,3030,2020-10-22,127,38156,5602,1234,20039
Grt1228/chatgpt-java,3028,2023-02-11,10,3713,1276,212,2383
elvishew/xLog,3021,2015-12-17,16,4854,399,162,4760
jgilfelt/android-viewbadger,3021,2011-09-27,0,563,58,18,456
torakiki/pdfsam,3020,2013-09-24,57,19103,4427,889,2987
jd-alexander/LikeButton,3014,2015-12-23,14,781,102,23,373
keyboardsurfer/Crouton,3012,2012-08-03,8,1454,101,23,590
dmytrodanylyk/android-process-button,3010,2014-05-02,1,941,105,39,511
real-logic/simple-binary-encoding,3009,2013-09-03,83,25040,1252,208,62108
yui/yuicompressor,3009,2008-12-05,1,6075,58,22,1238
ltsopensource/light-task-scheduler,3000,2014-10-24,29,45904,4785,1508,27176
camunda/zeebe,2994,2016-03-20,259,285018,47956,10214,156909
JFormDesigner/FlatLaf,2994,2019-08-19,79,69002,3046,3019,51786
pedrovgs/DraggablePanel,2988,2014-04-13,10,1975,237,68,2333
smartloli/EFAK,2988,2017-02-04,0,7351,978,217,1163
bmelnychuk/AndroidTreeView,2983,2015-02-11,0,2145,256,65,2230
wildfly/wildfly,2981,2010-07-08,49,460753,86678,19139,247940
jackpal/Android-Terminal-Emulator,2976,2010-09-04,0,11869,675,222,8622
vran-dev/PrettyZoo,2976,2019-09-28,40,7302,899,194,2761
lovetuzitong/MultiImageSelector,2968,2015-04-08,2,1425,138,38,229
syncthing/syncthing-android,2959,2014-02-22,325,8421,915,240,1272
Tencent/VasDolly,2959,2017-01-19,16,1860,81,30,354
kermitt2/grobid,2956,2012-09-13,20,60277,2877,681,69311
HelloWorld521/Java,2955,2016-12-08,0,2697,472,176,632
stephanenicolas/robospice,2953,2012-09-19,1,14955,1538,677,4815
brianway/springmvc-mybatis-learning,2936,2016-03-10,0,5295,250,99,12843
sublimehq/Packages,2933,2015-06-13,0,364,14,16,172
AsamK/signal-cli,2932,2015-05-11,85,26243,3356,760,21857
janishar/android-mvvm-architecture,2928,2017-07-07,0,3077,650,172,1257
googlesamples/android-vision,2927,2015-07-01,0,5812,670,155,315
sockeqwe/AdapterDelegates,2915,2015-07-29,18,2458,415,169,425
jiajunhui/PlayerBase,2910,2017-03-28,18,12609,1513,377,9141
