number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
3358,2016-09-23T21:21:21Z,2016-09-24T00:20:01Z,2016-09-24T00:20:01Z,2,9,6,"CanvasRenderingContext2D.fillText() accepts a fourth parameter called maxWidth that sets the maximum width of the drawn text, enforced by scaling the entire line.
This commit uses the title element's layout dimensions to set maxWidth and avoid overflow outside of the canvas.
Example before and after screenshots:


I expect the same logic could be applied to axis labels, but it's not a problem I've run into.",3,0
3360,2016-09-24T13:27:38Z,2016-09-24T15:54:51Z,2016-09-24T15:54:51Z,1,2,2,Issue #3341 minor documentation fixes in scale docs,2,0
3361,2016-09-24T14:10:23Z,2016-09-25T12:30:39Z,2016-09-25T12:30:40Z,2,3,3,"Fixes #3059
Should merge #3325 first so that the tests are enabled and then I will update the tests in this branch",2,0
3363,2016-09-24T15:52:01Z,2016-12-18T13:46:15Z,2016-12-18T13:46:15Z,5,362,75,"Implementation of this plugins proposal.
Fixed #3335",3,4
3364,2016-09-24T20:02:24Z,2016-09-28T19:43:15Z,2016-09-28T19:43:15Z,4,63,23,"Responsiveness is currently based on the use of an iframe, however this method causes performance issues and could be troublesome when used with ad blockers. So make sure that the user is still able to create a chart without iframe when responsive is false.
Replaces #3333, #3351 and #3352",4,2
3399,2016-10-01T15:21:02Z,2016-10-03T20:01:38Z,2016-10-03T20:01:38Z,5,363,43,"In order to simulate real-time chart updates (i.e. horizontal animation), it's necessary to distinguish a removed or added value from a simple update. The dataset controller now hooks array methods that alter the data array length to synchronize metadata accordingly. Also remove the duplicate calls of updateBezierControlPoints() for line and radar charts.
Examples: http://playground.abysscorp.org/chartjs/livecharts/
Plunker: http://plnkr.co/Imxwl9OQJuaMepLNy6ly
Related issues: #1997 #3126",2,3
3400,2016-10-01T22:27:36Z,2016-10-03T20:05:21Z,2016-10-03T20:05:21Z,29,1118,161,"Significant improvements to the tooltip and hover modes
New Configuration
In addition to the hover.mode and tooltips.mode settings, hover.intersect and tooltips.intersect have been added. The intersect settings are used to configure certain modes so that when items are shown can be controlled
New Modes



Mode
Description




point
Returns all items under the point


index
renamed 'label' mode


nearest
Returns the nearest item. Using in conjunction with intersect set to true works well for points that are hidden behind


x
returns items that intersect the x coordinate


y
returns items that intersect the y coordinate



Point Mode

Nearest Mode, Intersect On

Nearest Mode, No Intersect

Deprecated Modes
The 'single' and 'x-axis' modes are deprecated.
Single mode has been replaced by 'point' which returns all of the items that intersect with the cursor
The X axis mode has been replaced by the index mode coupled with setting intersect to true.",3,8
3401,2016-10-01T23:04:22Z,,2016-10-04T18:06:48Z,1,5,0,,4,0
3411,2016-10-03T23:12:04Z,2016-10-04T13:20:20Z,2016-10-04T13:20:20Z,3,16,10,"Also adds a new option displayColors that allows turning off the color boxes
Fixes #3273 and #3407",2,0
3414,2016-10-04T10:49:56Z,2016-10-04T13:27:44Z,2016-10-04T13:27:44Z,1,1,0,When trying to run gulp unittestWatch I got an error for a missing watchify dep. This PR fixes it 👍,3,5
