number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
343,2017-12-12T01:54:38Z,2017-12-13T09:43:03Z,2017-12-13T09:43:03Z,2,200,109,you can see the options of closeing multiple tags by right-click,2,0
622,2018-04-25T06:29:46Z,2018-05-02T02:27:48Z,2018-05-02T02:27:48Z,1,2,2,"原来的普通导航栏样式会使用 siderbar 的样式，背景黑底。
修改后，sidebar 样式不变，普通导航栏可以正常使用。",3,0
732,2018-06-01T06:30:53Z,2018-06-01T07:38:09Z,2018-06-01T07:38:09Z,1,2,1,"When get rich editor value(null) from backend,it will occur error
Error in nextTick: ""TypeError: Cannot read property 'replace' of null""

So I set val to '' to avoid it",2,3
1290,2018-11-02T04:20:06Z,2018-11-02T07:07:40Z,2018-11-02T07:07:40Z,2,13,9,刚开始学vue，改了下，不知道是否可行。,2,2
1546,2019-01-23T05:33:05Z,2019-01-24T07:32:36Z,2019-01-24T07:32:36Z,1,6,1,"修复传入的时间戳是字符串类型，不能转换时间的问题
例：parseTime(""1548221490638"")",2,1
1718,2019-03-15T10:04:27Z,2019-03-17T08:36:10Z,2019-03-17T08:36:10Z,2,35,15,业务中有个复杂导出的需求，在vue-element-admin的基础上实现了导出。样式的问题，可能还需要修复,2,1
1924,2019-04-16T03:33:57Z,2019-04-16T06:56:08Z,2019-04-16T06:56:08Z,1,4,4,,2,0
2047,2019-05-09T16:33:28Z,2019-05-20T03:10:31Z,2019-05-20T03:10:31Z,1,1,1,"Hi guy, thanks for it great app.
I need load custom store with a sub-module like is showed on image:

This change allows add a sub-folder to store/modules and add all stores of sub-folder to global store
Please take a time for review it, I use this source code just now and worked
Best Regard",2,1
2643,2019-10-09T15:07:41Z,2020-05-04T13:38:44Z,2020-05-04T13:38:44Z,5,60,15,,2,1
