number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
46,2016-11-17T06:13:30Z,2016-11-17T07:48:41Z,2016-11-17T07:48:41Z,1,1,0,updated PR for repo standards,2,0
69,2017-01-11T08:11:07Z,2017-01-13T21:36:03Z,2017-01-13T21:36:04Z,1,1,0,,3,1
119,2017-07-12T18:34:07Z,2017-07-14T14:16:53Z,2017-07-14T14:16:53Z,1,1,0,👋,2,1
140,2017-08-29T09:35:29Z,,2018-12-13T08:37:25Z,1,1,0,,3,2
156,2017-10-19T12:35:39Z,2017-10-28T20:41:33Z,2017-10-28T20:41:33Z,1,1,0,Adding Kap to the list ❤️,4,1
160,2017-10-24T15:18:35Z,,2017-10-28T21:29:11Z,1,1,0,Mocha is the testing suite that I got started with I was surprised it was not listed!,3,1
165,2017-11-07T19:07:15Z,,2017-11-19T13:44:33Z,1,1,0,We are from Open Learning Exchange currently building a platform for distributed learning platform for community especially where internet is constrained. We have issue for newbie or beginners.,3,2
