number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
4174,2020-09-09T15:54:19Z,,2020-10-13T13:10:56Z,1,1,1,~,1,0
4215,2020-11-03T17:06:17Z,,2022-06-28T13:23:11Z,0,0,0,There is no diff.,15,9
4336,2021-02-07T20:03:47Z,,2021-02-14T16:02:26Z,1,1,0,,2,0
4356,2021-02-22T16:10:49Z,,2023-10-26T15:57:06Z,1,1,1,Can't believe this thing littered our lack of code for three years!,5,0
4407,2021-04-17T17:50:33Z,,2022-09-19T22:37:10Z,1,1,0,I added some important modules,2,4
4433,2021-05-04T22:28:45Z,,2021-05-05T13:17:08Z,0,0,0,"The University of Minnesota have found multiple CRITICAL SECURITY ISSUE (aka CVE-2021-26804, CVE-2021-29478, CVE-2021-29477 and CVE-2021-21551)
Please merge our patches",1,1
4455,2021-05-08T19:18:28Z,,2021-12-18T10:29:24Z,2,9,0,"added CI
 does not contain code
 fixed bug that caused workflow validation to happen, which is not no code",4,1
4466,2021-05-12T13:12:45Z,,2022-10-01T18:33:32Z,1,1,1,Replace semicolon with a comma to improve readability,3,2
4816,2022-02-22T15:57:37Z,,2023-04-23T04:05:44Z,1,1,0,adds a simple hello world example,5,4
4913,2022-07-22T03:47:04Z,,2022-08-17T06:17:35Z,3,0,45,,2,0
5001,2022-12-13T21:24:56Z,,2023-10-18T11:56:59Z,1,0,52,‎,8,4
5163,2023-09-07T22:59:02Z,,2023-09-12T00:34:23Z,1,1,0,It's important for software with high visibility to stay up to date with current trends,4,0
